order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1527801,18651,prior,3,2,15,13.0
1164053,43810,prior,30,1,13,7.0
1526289,163764,prior,15,5,10,2.0
1356263,56571,prior,12,3,13,8.0
2256752,153793,prior,4,0,10,14.0
222302,125909,prior,10,2,12,28.0
2788977,143642,prior,2,3,16,0.0
2092058,172425,prior,29,1,18,10.0
3356599,48936,prior,18,2,13,10.0
2742639,160420,prior,17,0,18,6.0
771747,27773,prior,1,6,15,
398840,110864,prior,5,3,17,24.0
2610507,43870,prior,3,1,10,9.0
1972973,129867,prior,30,2,11,6.0
373658,5767,train,4,0,14,15.0
709560,29267,prior,26,4,5,2.0
2154434,170560,prior,8,6,14,6.0
3364977,53541,prior,4,1,10,5.0
604890,30237,prior,4,3,8,15.0
1262838,65900,prior,5,6,6,8.0
2397162,120776,prior,23,0,12,5.0
2106974,85085,prior,4,4,15,17.0
1679933,23383,prior,23,6,8,1.0
2963105,97880,prior,6,0,12,25.0
1533080,131915,prior,17,1,18,2.0
1837287,96817,prior,24,0,21,2.0
699269,77330,train,6,2,12,7.0
807977,18645,prior,1,3,9,
2976247,14800,prior,8,1,17,7.0
1201588,8742,prior,38,4,10,30.0
1917281,70872,prior,29,3,13,6.0
1488067,147474,prior,27,4,16,6.0
3187761,12906,prior,37,0,13,4.0
233971,19824,prior,12,2,9,8.0
1916455,165016,prior,7,1,15,27.0
706641,91344,prior,10,0,12,11.0
510990,44250,prior,20,1,14,0.0
3071797,72501,prior,5,2,10,2.0
21101,180800,prior,28,2,15,6.0
1126880,172474,prior,5,0,15,25.0
1429714,152798,prior,15,0,8,6.0
2007056,40321,train,5,4,18,30.0
3282106,92342,prior,4,4,17,5.0
2928697,41266,prior,12,2,13,5.0
1535542,6293,prior,5,2,16,5.0
2524340,95543,prior,44,1,9,5.0
1050845,186525,prior,7,4,16,30.0
2528689,82352,prior,11,0,9,7.0
2318047,132456,prior,17,3,21,17.0
727225,8745,prior,7,0,18,21.0
1718418,97729,prior,40,1,13,3.0
1887485,8776,prior,1,0,14,
2873745,107673,train,22,6,15,25.0
1486179,89767,test,16,6,13,28.0
1320817,119079,prior,6,6,13,12.0
2087725,159408,prior,34,4,15,6.0
2630126,19392,prior,16,0,11,4.0
1207904,144766,prior,1,1,22,
2544855,201831,prior,2,2,12,17.0
403179,144825,prior,7,1,21,13.0
142426,105118,prior,4,1,14,8.0
1393702,123160,prior,14,0,17,7.0
681045,106179,prior,24,1,16,8.0
1789832,31472,prior,3,1,16,5.0
3332452,173933,prior,5,4,13,13.0
2225490,102747,prior,13,4,7,6.0
147827,27977,train,55,0,21,12.0
1718253,200553,prior,1,4,12,
1941179,131091,train,6,6,14,15.0
446529,181012,prior,4,3,11,30.0
1903052,128831,prior,16,4,15,5.0
2381838,47877,prior,10,0,14,16.0
601540,182633,prior,1,2,14,
962514,188463,prior,1,0,14,
3087902,130630,prior,7,5,11,8.0
820279,188140,prior,6,2,15,11.0
3064552,25347,prior,49,0,9,2.0
2008861,146381,prior,20,6,11,5.0
3292970,181426,prior,3,0,8,6.0
2150579,183257,prior,10,1,21,1.0
2155094,59355,prior,19,4,18,30.0
536731,137019,prior,2,1,17,30.0
1394039,19976,prior,9,4,18,3.0
1489667,165096,prior,10,2,5,16.0
3276222,30200,prior,7,5,22,4.0
1747872,47103,prior,67,4,19,2.0
1860876,177767,prior,3,0,12,7.0
2303021,44984,prior,9,1,11,12.0
384505,159267,prior,2,5,9,6.0
3045755,66252,prior,10,4,10,3.0
1124051,109031,prior,12,1,16,17.0
322025,91345,prior,22,0,15,6.0
1047784,111327,prior,46,0,10,2.0
1993829,23798,prior,4,0,16,6.0
2541457,174301,prior,15,4,16,2.0
2927938,2921,prior,4,2,13,9.0
226156,12611,prior,2,5,7,30.0
593900,38764,prior,31,3,23,12.0
1077443,71062,prior,27,6,15,5.0
1735588,13112,prior,9,2,19,12.0
2280357,98423,prior,6,1,14,30.0
1952879,31999,prior,14,5,11,11.0
1453608,63050,prior,9,1,18,5.0
1529816,198217,prior,93,1,16,0.0
2173992,169250,prior,2,5,12,11.0
291265,112631,prior,6,2,10,7.0
2133610,191777,prior,1,6,13,
266304,195439,prior,1,5,14,
1713333,98411,prior,99,1,15,3.0
1553563,22037,prior,31,6,21,6.0
3128148,101335,prior,6,1,23,21.0
2068407,169820,prior,19,4,21,3.0
3263241,110938,prior,9,1,23,6.0
127309,75762,prior,11,6,21,3.0
3239951,181887,prior,13,5,10,8.0
1332485,96095,prior,6,6,9,7.0
1696964,103334,prior,3,1,11,30.0
2215422,27809,prior,22,1,8,9.0
626848,139304,prior,33,5,8,5.0
2773175,183169,prior,41,1,10,12.0
322,36278,prior,2,1,9,7.0
2096734,7848,prior,10,1,12,6.0
823844,134286,prior,10,1,11,10.0
2621257,178903,prior,6,6,17,30.0
1534249,14470,prior,10,1,18,14.0
3191470,126989,prior,27,0,13,11.0
2323518,65002,train,5,1,13,30.0
2161272,96607,prior,7,6,15,13.0
2709791,171551,prior,33,2,12,1.0
3206910,130136,prior,85,4,11,2.0
1412463,37625,prior,9,2,13,11.0
3000825,101163,prior,8,1,15,7.0
2862144,205906,prior,14,3,13,26.0
1665406,96375,prior,2,2,10,30.0
1844833,150514,prior,9,6,14,5.0
3138883,58370,prior,8,4,12,4.0
350582,109020,prior,49,4,15,2.0
2419056,179548,prior,35,1,10,3.0
2789149,59522,prior,8,0,9,20.0
2071079,119307,prior,35,6,20,7.0
6761,15380,prior,1,5,8,
332059,45837,prior,6,0,14,14.0
1655279,77887,prior,6,2,13,8.0
2660022,82232,prior,86,5,15,3.0
2938842,85859,prior,19,1,10,13.0
3137744,133931,prior,5,1,17,5.0
552595,199688,prior,75,4,22,7.0
1500697,197683,prior,7,4,16,10.0
2220246,138763,prior,4,0,12,30.0
2571651,24074,prior,23,2,21,9.0
2624533,146123,prior,1,3,10,
2562073,74056,prior,10,1,12,8.0
1869693,189664,prior,48,5,15,5.0
746965,51782,prior,49,6,14,10.0
3325115,159270,prior,2,6,13,23.0
1291302,53310,prior,5,2,13,19.0
1354983,141362,prior,4,5,17,30.0
412496,176420,prior,7,1,18,1.0
1925239,189122,prior,15,0,20,3.0
1461743,53633,prior,10,6,12,6.0
1727294,67178,prior,1,0,20,
596822,39486,prior,20,0,19,2.0
1083491,39648,prior,32,6,11,9.0
660164,58633,prior,19,1,11,15.0
3133915,163644,prior,51,6,17,3.0
1288404,48791,prior,5,1,12,6.0
1671050,145918,prior,26,0,16,7.0
890612,83514,prior,7,6,10,17.0
640090,196340,prior,10,2,18,5.0
2205816,11238,prior,3,1,14,6.0
1411097,122921,prior,26,2,14,15.0
3036419,82822,prior,7,2,19,13.0
2249917,153182,prior,8,0,19,15.0
1793987,151805,prior,18,4,10,4.0
1901608,55321,prior,35,1,9,7.0
2097901,61437,prior,17,3,12,1.0
2646046,160463,prior,3,2,20,13.0
2455090,152290,prior,6,2,7,30.0
1589126,205895,prior,5,2,11,8.0
2117923,108755,prior,1,4,14,
221974,156716,prior,15,0,9,15.0
846252,133623,prior,3,0,11,13.0
3297979,66475,prior,5,0,12,25.0
2073940,129660,prior,36,0,16,5.0
2294656,151314,prior,20,0,12,4.0
2043534,164875,prior,7,4,16,30.0
101222,179038,prior,2,1,19,18.0
2073658,80715,prior,24,0,20,6.0
1015153,157857,prior,2,2,9,15.0
2064499,104854,prior,2,5,13,7.0
1477490,29792,test,7,0,15,29.0
1607611,158546,prior,12,6,14,20.0
1036405,192778,prior,45,5,11,3.0
2133182,42434,prior,5,1,20,30.0
3003268,91820,prior,55,5,9,2.0
170591,124102,prior,2,2,10,30.0
2156162,131304,prior,1,3,10,
1818149,108521,prior,1,0,13,
2227347,111019,prior,4,0,14,30.0
1889255,163106,prior,5,4,17,6.0
1067973,4756,prior,3,5,18,28.0
836777,167928,prior,5,0,13,22.0
1123533,203858,prior,26,6,16,6.0
2075384,57941,prior,33,3,15,25.0
3323298,42308,prior,3,4,10,17.0
879947,52240,prior,4,4,11,22.0
2847338,164009,prior,5,2,15,6.0
3049866,127180,prior,8,3,18,8.0
208468,164901,prior,13,5,7,5.0
3270807,139455,prior,5,1,8,22.0
1805109,143621,prior,21,1,9,7.0
814061,187487,prior,3,0,15,0.0
3236192,67962,prior,28,2,18,8.0
1464659,158080,prior,17,5,14,2.0
1226681,171616,prior,9,2,11,2.0
126582,146006,prior,3,2,20,15.0
2173912,131796,prior,27,6,10,14.0
2809547,50204,train,39,6,18,19.0
1360045,89877,prior,2,0,10,2.0
2898330,141429,train,8,2,12,10.0
544166,182062,prior,13,3,8,1.0
61558,20874,prior,2,0,15,4.0
458292,65584,prior,18,1,7,14.0
929490,65538,prior,38,0,18,5.0
1640576,3735,prior,2,3,13,9.0
2147222,68823,prior,3,6,21,5.0
2679066,24995,prior,3,0,7,5.0
807183,9310,prior,1,1,15,
2188148,127852,prior,31,1,11,5.0
1577371,99300,prior,12,6,16,2.0
2599566,196528,prior,11,3,11,30.0
1340693,47304,prior,6,6,12,13.0
1687584,54041,prior,18,4,14,8.0
2713500,45368,prior,16,4,14,2.0
2410101,179790,prior,30,3,17,5.0
3114264,79857,prior,12,0,16,30.0
1290210,203440,prior,43,3,12,3.0
210969,36785,prior,32,0,7,5.0
1284695,78543,prior,3,5,10,30.0
347123,22379,prior,18,2,8,17.0
304534,92454,prior,4,6,14,6.0
689129,186174,prior,1,3,13,
2761299,185665,prior,26,5,18,23.0
3162398,73023,prior,5,2,18,30.0
1963123,191391,prior,13,5,9,6.0
2640789,109227,prior,2,5,15,7.0
2649676,84703,prior,2,1,13,11.0
1989664,174118,train,9,1,13,30.0
3386523,82883,prior,5,4,16,19.0
1054900,8498,prior,2,1,10,6.0
3009500,65986,prior,5,5,16,5.0
1110280,67544,test,9,6,17,17.0
3242653,192824,prior,8,1,19,3.0
2869109,163370,prior,13,5,12,30.0
2195705,72115,prior,51,5,15,4.0
421289,164799,prior,11,2,7,12.0
1767288,178474,prior,5,3,13,30.0
1412344,109260,prior,38,5,13,4.0
1788296,10447,prior,26,3,19,20.0
84785,72047,prior,1,1,16,
652382,28927,prior,60,4,16,1.0
2183860,192713,prior,6,5,8,8.0
746810,26101,prior,32,0,14,2.0
81253,3252,prior,7,4,11,2.0
2222426,69163,prior,7,1,8,30.0
493787,90788,prior,38,1,15,4.0
744648,151615,prior,1,4,17,
1260174,22428,prior,60,2,12,7.0
35475,75947,prior,3,1,17,2.0
1401309,206072,prior,5,6,12,22.0
1661069,41217,prior,2,2,9,12.0
3231889,140017,prior,4,5,11,16.0
2296809,115715,prior,9,3,15,30.0
2509588,57357,prior,7,2,8,5.0
3159373,83635,prior,15,0,17,30.0
3382764,45693,prior,30,0,16,4.0
911158,206074,prior,1,5,13,
2796075,75357,prior,14,6,11,7.0
2607280,8537,prior,33,5,11,5.0
1661664,156835,prior,22,1,8,3.0
2194774,42821,prior,8,0,10,5.0
283772,163587,prior,16,1,9,3.0
2490435,154082,prior,5,0,15,10.0
2590950,106623,prior,10,0,15,3.0
1827477,169352,prior,9,1,16,1.0
639604,145549,prior,19,2,13,10.0
3060833,37308,prior,71,4,20,2.0
1219232,57767,prior,30,1,4,4.0
1120676,65284,prior,6,1,14,1.0
1192894,120280,prior,27,5,18,7.0
1270436,20072,prior,3,5,18,1.0
2235911,25684,prior,1,0,13,
2740523,74162,prior,17,0,15,10.0
2619914,121575,prior,35,3,11,4.0
945368,129878,prior,2,5,15,14.0
2275775,153516,prior,92,6,18,7.0
1881986,93881,prior,7,1,15,6.0
1396468,146484,prior,6,5,12,30.0
764296,128402,prior,5,2,17,6.0
670050,53085,prior,6,0,9,6.0
766248,79728,prior,11,1,14,7.0
1420026,132860,prior,32,2,12,6.0
1658686,8500,prior,13,5,8,6.0
1664326,183439,prior,26,4,12,14.0
1586341,166384,prior,22,2,17,3.0
2898109,15983,prior,1,4,11,
1999692,22418,prior,16,1,18,30.0
2506102,20730,prior,42,0,19,6.0
3413698,93519,prior,47,4,21,0.0
2429909,95181,prior,8,3,18,9.0
370781,154317,prior,9,1,13,29.0
650651,164435,prior,7,5,10,10.0
3290624,115840,prior,6,1,8,14.0
1809339,164755,prior,33,4,21,7.0
2106749,28112,prior,5,4,10,8.0
1592021,120377,prior,93,6,15,6.0
1851520,7713,prior,40,2,7,1.0
1064200,174228,train,4,5,15,24.0
1896455,551,prior,9,3,14,15.0
304846,91950,train,35,2,9,7.0
1477105,19964,prior,3,0,15,9.0
1196345,105954,prior,1,3,19,
2691282,158090,prior,8,2,10,15.0
552575,200105,test,46,0,10,1.0
2550592,86301,train,12,2,18,30.0
2262479,143177,prior,69,6,16,6.0
631347,111441,prior,2,5,11,9.0
1221102,99668,train,12,0,12,21.0
152966,193815,prior,34,3,11,10.0
2596737,29176,prior,26,3,23,2.0
2094274,150827,prior,3,1,20,0.0
1577409,15820,prior,1,5,11,
194063,140969,prior,42,4,19,1.0
1448083,127286,test,39,5,10,16.0
844382,185491,prior,37,5,13,6.0
3226474,196322,prior,30,1,13,30.0
3366398,161405,prior,6,5,19,14.0
2992169,156420,prior,32,6,15,3.0
3028535,181293,prior,18,1,10,5.0
3072062,27353,prior,41,6,13,1.0
1548019,76652,prior,15,5,9,11.0
1925778,153273,prior,22,3,12,1.0
1688837,149113,prior,12,0,19,1.0
2005470,199190,prior,33,2,9,10.0
2210526,27907,prior,87,2,10,2.0
1214558,126802,test,7,5,12,7.0
3321167,27655,prior,8,2,16,1.0
3242869,8811,prior,6,1,16,3.0
2766034,170070,prior,7,6,15,11.0
2060834,14820,prior,4,3,8,5.0
3042830,144241,prior,7,6,10,30.0
697845,184124,prior,4,4,14,1.0
2015209,10600,prior,65,4,12,4.0
2739975,105792,prior,19,1,8,9.0
706187,192694,prior,7,5,17,16.0
2483337,157912,prior,4,4,7,13.0
1957697,66377,prior,14,1,18,24.0
865969,10548,prior,33,3,10,15.0
2596788,86829,prior,6,0,22,7.0
1765304,124971,prior,2,4,11,5.0
2855440,141815,prior,7,3,12,11.0
2159023,159291,prior,5,6,15,14.0
1250858,95056,prior,5,1,9,6.0
153467,141773,prior,3,4,14,24.0
362846,137262,prior,20,0,13,6.0
157195,55194,prior,12,3,11,2.0
1677644,100012,prior,11,1,7,7.0
1639609,113729,prior,1,6,12,
1315105,75609,prior,37,4,17,5.0
3008665,78735,prior,7,3,16,25.0
2754597,180621,prior,47,6,9,4.0
1762202,138506,prior,26,0,22,8.0
3006390,123693,prior,1,0,15,
1665956,88772,prior,29,5,15,0.0
193077,15578,prior,16,0,14,7.0
608190,162245,prior,11,3,20,4.0
114695,42760,prior,11,6,12,10.0
2890157,9578,prior,8,1,13,30.0
1818666,136099,prior,1,4,20,
3145682,107960,test,12,4,14,30.0
2705978,78334,prior,5,0,19,21.0
2830613,125695,prior,6,5,18,6.0
565582,131296,prior,12,6,18,5.0
1169192,164010,prior,10,6,15,0.0
1791426,4867,prior,3,2,16,11.0
83824,185977,prior,20,5,17,3.0
2689537,145173,prior,7,1,17,7.0
1134866,125073,prior,19,5,14,5.0
185135,115723,prior,4,1,14,3.0
1506554,4170,prior,6,3,14,5.0
790403,172790,prior,4,5,13,9.0
494332,138384,prior,4,2,12,30.0
3109639,85359,prior,15,3,9,1.0
1091855,176924,prior,18,0,10,6.0
2303842,101797,prior,45,2,16,5.0
1733750,103990,prior,17,3,18,5.0
1795262,57149,prior,15,1,14,19.0
381983,161412,prior,36,4,15,7.0
1673881,132597,prior,13,1,17,21.0
1645782,161928,prior,46,2,11,2.0
1534924,129092,prior,2,3,13,19.0
1863363,170808,prior,39,5,14,4.0
2227607,173514,prior,25,5,16,21.0
2625403,83588,prior,6,6,16,7.0
1750885,85176,prior,47,6,12,3.0
2878446,187610,prior,14,3,15,7.0
2569931,177194,prior,2,5,17,13.0
1160320,26660,prior,6,3,10,9.0
1522980,51609,prior,4,1,17,30.0
3142659,157307,prior,33,6,16,5.0
194904,60206,prior,19,1,16,18.0
923857,199163,prior,9,1,11,20.0
328187,136485,prior,10,0,15,7.0
1666721,151101,prior,4,0,13,11.0
239636,187895,prior,4,2,21,7.0
597717,36136,prior,2,2,10,30.0
149297,49457,prior,9,2,11,5.0
456868,175232,prior,2,3,15,6.0
138957,2325,prior,3,4,16,10.0
1460198,183209,train,6,2,13,26.0
1478972,163819,prior,14,1,10,7.0
1601131,42853,prior,1,5,10,
3184805,112651,prior,6,3,17,5.0
2270694,139366,prior,10,0,15,12.0
3131359,25245,prior,20,4,8,11.0
2817738,175434,prior,22,3,18,6.0
374148,26903,train,5,3,9,17.0
16202,138483,prior,39,5,18,4.0
2203324,36448,prior,20,5,11,2.0
11388,58619,prior,1,3,11,
567143,102473,prior,2,2,13,7.0
2630498,164121,prior,16,6,18,4.0
1531074,50519,train,28,0,13,12.0
2901217,55991,prior,8,2,9,7.0
2205219,66089,prior,17,0,12,10.0
1696556,115729,prior,12,3,16,15.0
651634,92197,prior,27,0,9,10.0
247699,74942,prior,51,0,13,1.0
2406469,126887,prior,9,3,13,30.0
2026145,159183,prior,79,2,23,2.0
192997,149218,prior,17,6,14,6.0
1812579,78224,prior,1,3,21,
1034268,19663,prior,4,4,8,30.0
1636593,22207,prior,5,1,10,30.0
2032403,125247,prior,13,0,15,3.0
1088072,142281,prior,9,6,19,2.0
1033470,205287,prior,22,1,10,6.0
2886174,144805,prior,24,5,16,3.0
1161237,107154,prior,25,4,23,4.0
2250985,87532,prior,14,1,8,13.0
3282247,152749,prior,5,3,16,0.0
1989898,114323,prior,7,0,11,30.0
2515496,101659,prior,35,5,18,8.0
1036185,41234,train,13,5,18,13.0
429245,40634,prior,6,6,9,28.0
1903766,67083,prior,13,4,14,2.0
965476,176756,prior,16,2,15,11.0
1772732,128178,prior,3,1,18,27.0
1227223,93851,prior,23,4,14,6.0
702422,79480,train,27,4,10,30.0
663164,109287,prior,40,0,10,10.0
590363,122991,prior,23,1,11,4.0
2470067,8710,prior,2,4,14,0.0
876775,21460,prior,6,6,16,4.0
2298722,89517,prior,9,4,17,13.0
152960,43786,prior,13,5,9,6.0
2662158,128941,prior,4,0,7,30.0
591595,86129,prior,3,1,9,3.0
3182177,92364,prior,4,1,1,8.0
2782160,46980,prior,8,5,9,16.0
1175296,156043,prior,2,3,16,6.0
2602913,153560,prior,20,3,23,12.0
2434147,62799,test,16,0,19,14.0
3409131,80527,prior,31,3,8,7.0
2894199,177885,prior,12,5,15,17.0
1455127,29616,prior,23,0,15,3.0
330860,114568,train,18,0,10,9.0
1827909,134730,prior,67,3,9,3.0
2955453,46848,prior,3,2,12,5.0
1612421,65371,prior,6,0,11,17.0
415162,32569,prior,10,4,8,8.0
677154,88972,prior,5,2,7,8.0
2428333,112123,prior,6,2,12,16.0
2944777,142348,prior,7,4,17,30.0
1200476,7156,prior,1,3,9,
2369095,71902,prior,54,5,8,5.0
1607397,5535,prior,7,0,9,7.0
2291674,158043,prior,10,1,7,8.0
5599,27750,prior,1,3,21,
517552,99666,prior,17,0,10,6.0
36814,116378,prior,20,0,12,3.0
2377518,74336,prior,65,2,12,4.0
1886907,158709,prior,69,6,20,1.0
539865,89276,prior,5,6,15,7.0
705411,39501,test,18,2,16,17.0
3026087,163496,prior,1,0,14,
2876345,173931,train,7,5,9,30.0
914625,43683,prior,58,1,13,3.0
134758,144956,prior,36,4,10,4.0
1713951,113941,prior,5,6,14,13.0
1006369,32285,prior,15,2,10,6.0
374542,109268,prior,1,5,16,
778025,62512,prior,2,0,9,30.0
3304359,48450,prior,16,1,8,13.0
1010508,113371,prior,1,4,16,
3109162,112691,prior,15,4,11,3.0
2982675,80788,prior,27,1,9,11.0
698422,32953,prior,24,0,20,6.0
3266345,73670,prior,15,5,19,4.0
2345707,57704,prior,24,3,8,1.0
930570,11907,prior,25,4,12,3.0
1861423,3210,prior,32,4,17,2.0
3243858,108849,prior,22,5,21,8.0
3308214,71685,prior,12,0,11,3.0
2235395,187951,train,6,0,10,24.0
2283349,86329,prior,14,2,15,30.0
2333119,109653,prior,3,3,19,15.0
2698628,183785,prior,26,5,8,4.0
2128545,197085,prior,6,0,17,9.0
2284814,147834,prior,57,3,19,2.0
1518272,110894,prior,31,2,9,7.0
559469,145483,prior,11,0,17,28.0
1946392,62183,prior,7,4,23,3.0
2469996,74294,prior,1,0,14,
917710,167952,prior,1,5,21,
230474,76503,prior,3,0,10,15.0
2978941,134516,prior,12,0,17,7.0
1681341,156247,prior,19,2,13,30.0
503029,134407,prior,18,1,13,10.0
1627733,95125,prior,5,1,13,7.0
748006,29467,prior,18,0,10,3.0
1974159,172999,prior,3,1,11,6.0
2018522,76309,prior,10,3,16,4.0
1977750,99761,prior,40,4,21,1.0
2734241,48620,prior,12,4,16,0.0
3401357,99020,prior,10,3,18,13.0
1074229,132337,prior,4,2,21,30.0
349096,205897,prior,3,0,22,4.0
3358415,38466,train,8,4,18,30.0
305867,188973,train,10,6,18,7.0
1717116,85536,prior,35,0,13,0.0
2582749,200984,prior,4,5,12,18.0
1921507,47949,prior,36,1,18,7.0
2880022,135685,test,26,6,19,6.0
831322,57170,prior,10,0,11,18.0
2592492,59291,prior,4,5,15,30.0
62477,83257,prior,5,5,23,13.0
115075,56627,prior,26,2,19,0.0
3098070,54402,prior,13,0,13,16.0
2125808,44975,prior,18,3,11,3.0
2032201,84037,prior,9,5,9,3.0
1589758,203896,prior,14,5,9,3.0
2836139,159311,prior,2,2,5,30.0
2242113,22167,prior,31,6,13,3.0
1058493,171629,train,5,3,16,30.0
133630,84847,prior,3,3,10,15.0
1950983,39508,prior,15,0,14,16.0
41376,113305,prior,19,0,8,13.0
1182053,153819,prior,3,2,10,26.0
1966489,27788,prior,6,1,15,6.0
161752,112721,prior,34,2,19,14.0
2474966,114280,prior,41,0,20,9.0
1522391,94485,train,25,2,16,30.0
2328979,80606,prior,22,5,15,30.0
717837,51237,prior,4,3,22,30.0
1429660,75664,prior,69,2,14,2.0
886421,14501,prior,1,2,20,
2576532,133609,prior,9,5,17,14.0
1763649,163750,prior,12,3,7,2.0
109143,171724,train,41,3,19,6.0
1003683,68317,prior,21,5,9,13.0
134569,159904,prior,4,3,13,8.0
1549727,74157,prior,21,0,13,10.0
2225416,120826,prior,4,5,15,30.0
2668650,36445,prior,23,6,12,1.0
2564511,186282,prior,13,3,11,8.0
970190,70505,prior,56,2,8,6.0
607502,102051,prior,12,5,9,10.0
3359312,123160,prior,42,0,18,8.0
871430,166866,prior,16,4,16,3.0
2127348,52,prior,26,5,13,18.0
2040407,198165,prior,40,0,1,9.0
3102856,96165,prior,7,0,10,7.0
1297422,43928,prior,6,0,11,7.0
114006,116292,prior,1,2,14,
1731548,82277,prior,21,1,15,7.0
811116,31310,prior,31,3,6,1.0
2240516,187930,prior,41,6,15,1.0
3060958,159772,prior,4,1,12,5.0
1905960,89608,prior,11,0,5,10.0
693617,199688,prior,1,1,20,
812436,82685,prior,4,2,20,10.0
1835895,84870,prior,5,4,20,9.0
2396863,20210,prior,2,4,16,30.0
2792518,50358,prior,25,1,14,8.0
1643851,53171,prior,7,0,10,12.0
2658911,147629,prior,4,2,23,30.0
1246261,152360,prior,44,0,10,4.0
2545999,107909,prior,15,5,10,28.0
2181285,84974,prior,3,4,23,30.0
3179009,96135,prior,12,5,20,8.0
1405140,101937,prior,56,3,12,2.0
2722623,94401,prior,8,3,22,3.0
2942287,79345,prior,39,1,14,16.0
2755194,16999,prior,2,2,16,14.0
2013242,53243,prior,15,6,16,6.0
177281,67545,prior,18,3,16,22.0
863590,95238,prior,44,4,12,4.0
2075838,172765,prior,38,3,20,9.0
2082539,43184,prior,5,5,18,30.0
661374,121762,prior,1,0,14,
2526922,48093,prior,14,4,22,6.0
657351,92393,prior,22,5,9,0.0
2758501,121855,prior,27,1,18,3.0
213060,102794,prior,13,0,21,30.0
2218527,188352,prior,13,1,9,14.0
826427,37874,train,5,2,10,30.0
3136956,13834,prior,2,4,16,6.0
2370090,201766,prior,3,1,15,8.0
3099703,58464,prior,12,0,11,6.0
2819115,76272,prior,56,5,8,3.0
391024,124400,prior,12,4,12,25.0
1201375,160913,prior,15,1,18,6.0
2063520,75431,prior,12,1,11,8.0
3314088,28527,prior,8,2,15,8.0
1036344,22789,prior,2,0,14,2.0
1501718,126682,prior,17,3,16,5.0
1417569,170847,prior,5,4,14,15.0
2402579,76298,prior,18,4,12,9.0
1148469,33911,prior,15,0,15,15.0
1528592,49094,prior,25,6,12,13.0
2371990,36254,prior,13,0,14,16.0
944152,97065,prior,5,4,14,3.0
598476,109640,prior,2,5,9,6.0
1126718,192628,prior,6,2,17,4.0
807125,118968,prior,9,4,11,0.0
822194,68352,prior,2,5,8,5.0
